gene_symbol,ensembl_id
0610009B22Rik,10090.ENSMUSP00000104726
0610010F05Rik,10090.ENSMUSP00000044265
0610010K14Rik,10090.ENSMUSP00000119483
0610012G03Rik,10090.ENSMUSP00000143811
0610030E20Rik,10090.ENSMUSP00000076957
0610037L13Rik,10090.ENSMUSP00000113866
0610040J01Rik,10090.ENSMUSP00000142539
1110002E22Rik,10090.ENSMUSP00000123851
1110004F10Rik,10090.ENSMUSP00000145989
1110008L16Rik,10090.ENSMUSP00000139204
1110008P14Rik,10090.ENSMUSP00000142021
1110012L19Rik,10090.ENSMUSP00000052765
1110017D15Rik,10090.ENSMUSP00000122537
1110032A03Rik,10090.ENSMUSP00000135679
1110032F04Rik,10090.ENSMUSP00000056782
1110038F14Rik,10090.ENSMUSP00000071698
1110051M20Rik,10090.ENSMUSP00000067770
1110059E24Rik,10090.ENSMUSP00000136688
1110059G10Rik,10090.ENSMUSP00000112461
1110065P20Rik,10090.ENSMUSP00000130892
1190002N15Rik,10090.ENSMUSP00000108651
1190005I06Rik,10090.ENSMUSP00000121882
1190007I07Rik,10090.ENSMUSP00000134868
1300017J02Rik,10090.ENSMUSP00000115867
1500009C09Rik,10090.ENSMUSP00000120070
1500009L16Rik,10090.ENSMUSP00000129542
1500011B03Rik,10090.ENSMUSP00000116625
1520401A03Rik,10090.ENSMUSP00000144253
1600002K03Rik,10090.ENSMUSP00000037758
1600012H06Rik,10090.ENSMUSP00000093344
1600014C10Rik,10090.ENSMUSP00000146124
1600014C23Rik,10090.ENSMUSP00000136788
1600015I10Rik,10090.ENSMUSP00000031837
1700001C19Rik,10090.ENSMUSP00000155338
1700001F09Rik,10090.ENSMUSP00000136772
1700001J03Rik,10090.ENSMUSP00000073399
1700001K19Rik,10090.ENSMUSP00000152785
1700001L19Rik,10090.ENSMUSP00000152877
1700001O22Rik,10090.ENSMUSP00000058055
1700001P01Rik,10090.ENSMUSP00000103202
1700003E16Rik,10090.ENSMUSP00000032106
1700003F12Rik,10090.ENSMUSP00000105331
1700007K13Rik,10090.ENSMUSP00000083557
1700008O03Rik,10090.ENSMUSP00000123280
1700009N14Rik,10090.ENSMUSP00000029955
1700010B08Rik,10090.ENSMUSP00000072830
1700010I14Rik,10090.ENSMUSP00000024650
1700011L22Rik,10090.ENSMUSP00000034109
1700012B07Rik,10090.ENSMUSP00000102285
1700012B09Rik,10090.ENSMUSP00000140756
1700013F07Rik,10090.ENSMUSP00000029485
1700014D04Rik,10090.ENSMUSP00000052403
1700015F17Rik,10090.ENSMUSP00000111107
1700016C15Rik,10090.ENSMUSP00000016106
1700016D06Rik,10090.ENSMUSP00000140232
1700017B05Rik,10090.ENSMUSP00000034846
1700017D01Rik,10090.ENSMUSP00000025635
1700019D03Rik,10090.ENSMUSP00000055413
1700020A23Rik,10090.ENSMUSP00000105910
1700020D05Rik,10090.ENSMUSP00000140922
1700020L24Rik,10090.ENSMUSP00000042098
1700020N01Rik,10090.ENSMUSP00000054237
1700021F05Rik,10090.ENSMUSP00000119053
1700022I11Rik,10090.ENSMUSP00000140363
1700023F06Rik,10090.ENSMUSP00000139837
1700025B11Rik,10090.ENSMUSP00000139560
1700025G04Rik,10090.ENSMUSP00000113971
1700028J19Rik,10090.ENSMUSP00000145781
1700028K03Rik,10090.ENSMUSP00000058373
1700029H14Rik,10090.ENSMUSP00000120739
1700029I15Rik,10090.ENSMUSP00000140421
1700029J07Rik,10090.ENSMUSP00000092961
1700029P11Rik,10090.ENSMUSP00000074190
1700030J22Rik,10090.ENSMUSP00000070601
1700030K09Rik,10090.ENSMUSP00000113279
1700034E13Rik,10090.ENSMUSP00000089518
1700034I23Rik,10090.ENSMUSP00000141045
1700034J05Rik,10090.ENSMUSP00000043802
1700037C18Rik,10090.ENSMUSP00000111525
1700037H04Rik,10090.ENSMUSP00000028800
1700047I17Rik2,10090.ENSMUSP00000137377
1700056E22Rik,10090.ENSMUSP00000055787
1700057G04Rik,10090.ENSMUSP00000096077
1700061G19Rik,10090.ENSMUSP00000025048
1700066B19Rik,10090.ENSMUSP00000095222
1700066M21Rik,10090.ENSMUSP00000040240
1700067K01Rik,10090.ENSMUSP00000134486
1700069L16Rik,10090.ENSMUSP00000047454
1700088E04Rik,10090.ENSMUSP00000129244
1700092M07Rik,10090.ENSMUSP00000130094
1700093K21Rik,10090.ENSMUSP00000020527
1700102P08Rik,10090.ENSMUSP00000141566
1700109H08Rik,10090.ENSMUSP00000008451
1700123K08Rik,10090.ENSMUSP00000031501
1700123O20Rik,10090.ENSMUSP00000047702
1700125H20Rik,10090.ENSMUSP00000018623
